iter	Passed	Remaining
0	200	200438
1	202	101115
2	205	68361
3	207	51635
4	209	41645
5	210	34910
6	212	30093
7	213	26475
8	214	23653
9	216	21398
10	217	19554
11	219	18059
12	221	16827
13	222	15695
14	224	14752
15	225	13895
16	226	13122
17	227	12424
18	228	11800
19	229	11236
20	230	10732
21	231	10270
22	232	9860
23	234	9516
24	234	9160
25	235	8830
26	236	8521
27	237	8248
28	238	7992
29	239	7747
30	240	7515
31	241	7297
32	242	7092
33	242	6898
34	243	6715
35	244	6542
36	245	6379
37	246	6232
38	247	6101
39	248	5963
40	249	5831
41	250	5710
42	251	5599
43	252	5491
44	253	5388
45	255	5290
46	256	5196
47	257	5102
48	258	5019
49	260	4942
50	262	4884
51	263	4808
52	264	4731
53	265	4655
54	266	4584
55	267	4512
56	268	4445
57	269	4384
58	270	4321
59	271	4260
60	272	4201
61	274	4148
62	276	4113
63	277	4063
64	279	4020
65	280	3975
66	282	3931
67	283	3886
68	284	3844
69	286	3801
70	287	3760
71	289	3734
72	291	3702
73	293	3668
74	295	3640
75	297	3619
76	301	3608
77	302	3576
78	304	3545
79	307	3536
80	309	3507
81	310	3475
82	311	3437
83	312	3409
84	314	3386
85	316	3359
86	317	3332
87	319	3313
88	321	3294
89	323	3269
90	324	3241
91	325	3216
92	327	3191
93	328	3166
94	329	3140
95	330	3115
96	332	3097
97	334	3080
98	336	3060
99	338	3045
100	339	3021
101	340	3001
102	342	2986
103	344	2971
104	346	2950
105	347	2929
106	348	2908
107	350	2895
108	353	2885
109	354	2866
110	355	2847
111	356	2826
112	357	2806
113	358	2787
114	359	2767
115	360	2750
116	362	2732
117	363	2717
118	366	2710
119	368	2699
120	369	2682
121	370	2663
122	371	2647
123	372	2631
124	373	2615
125	374	2600
126	375	2584
127	377	2569
128	378	2555
129	380	2546
130	381	2533
131	383	2520
132	384	2507
133	385	2494
134	387	2480
135	388	2466
136	389	2452
137	390	2438
138	391	2425
139	392	2413
140	394	2405
141	396	2396
142	398	2385
143	399	2374
144	400	2361
145	401	2348
146	402	2337
147	403	2325
148	404	2312
149	406	2301
150	407	2291
151	410	2289
152	412	2283
153	414	2276
154	415	2267
155	417	2259
156	419	2250
157	420	2240
158	421	2231
159	423	2223
160	424	2214
161	427	2208
162	428	2201
163	430	2193
164	431	2185
165	433	2177
166	435	2170
167	436	2162
168	440	2167
169	442	2162
170	445	2160
171	449	2165
172	457	2184
173	458	2177
174	460	2170
175	461	2161
176	463	2155
177	465	2148
178	467	2144
179	472	2152
180	474	2146
181	476	2140
182	477	2133
183	479	2125
184	480	2116
185	481	2108
186	486	2114
187	487	2106
188	489	2098
189	490	2091
190	491	2082
191	492	2074
192	494	2065
193	495	2058
194	496	2050
195	501	2057
196	503	2050
197	504	2043
198	505	2036
199	507	2028
200	508	2020
201	509	2012
